Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Category,Outlet_Age,Price_Category,Visibility_Category,Store_Age_Category
156,-0.8406008050840832,0,-1.0873032791297128,4,1.747453810500045,9,1999,1,0,1,3735.138,1,-0.13954076129512305,3,1,0
8,-1.6391726319412085,1,-1.0230828182004283,14,-1.4890232521574345,3,2009,1,2,2,443.4228,0,-1.3341027425308933,1,1,0
662,1.0967627985337942,0,-1.0731355666338998,10,0.010040209322175003,9,1999,1,0,1,2097.27,1,-0.13954076129512305,2,1,0
1121,1.498411350503354,1,-0.9508842011180616,6,0.6600495477422742,0,1998,2,2,0,732.38,1,-0.020084563171546017,0,1,0
1297,-0.9280184311009877,0,-1.0849775865531421,9,-1.399219605090881,1,1987,0,2,1,994.7052,2,1.2939336161878014,1,1,1
758,-0.5818918848448669,1,0.4103195036194972,0,-1.4387337236796227,3,2009,1,2,2,556.6088,1,-1.3341027425308933,1,0,0
696,0.18714696024979083,1,-1.1530204083546947,13,-1.3382381721359564,1,1987,0,2,1,343.5528,1,1.2939336161878014,1,1,1
738,0.030711831954549774,0,1.1274278122914545,13,-0.5336410457037208,5,1985,1,2,3,4022.7636,1,1.5328460124349554,2,0,1
440,0.7896197882041306,1,-1.0745858025732116,5,-0.7069083520213211,7,2002,2,1,1,1076.5986,1,-0.49790935566585415,2,1,0
990,1.498411350503354,1,0.4710884264679203,5,0.7520082767866417,2,2007,2,1,1,4710.535,1,-1.0951903462837393,3,0,0
1171,-0.24994116983473028,0,1.0163104991467928,6,-1.532847534701804,9,1999,1,0,1,1516.0266,1,-0.13954076129512305,1,0,0
147,1.3330266526335355,1,-0.5025960396160168,4,0.05006178387588622,8,1997,2,0,1,2187.153,1,0.09937163495203102,0,2,0
1142,0.5297295486944154,1,0.5816815138035686,6,0.07203655420703896,9,1999,1,0,1,1589.2646,1,-0.13954076129512305,0,0,0
904,1.1203891839437687,1,-0.46694578920645075,13,-0.34228518245758355,8,1997,2,0,1,2145.2076,1,0.09937163495203102,2,2,0
375,0.8250593663190923,0,-0.054163492567403854,6,0.8904538263181622,1,1987,0,2,1,1977.426,1,1.2939336161878014,3,2,1
767,-0.9114799613140058,1,-0.033001369715693556,2,-1.3590727724192342,8,1997,2,0,1,1547.3192,1,0.09937163495203102,1,2,0
1280,-0.24994116983473028,0,-1.2354107686487288,8,-0.4118034379118073,3,2009,1,2,2,1621.8888,2,-1.3341027425308933,2,1,0
767,-0.9114799613140058,1,-0.03086629627342749,2,-1.3911902385565518,9,1999,1,0,1,718.3982,1,-0.13954076129512305,1,2,0
79,-0.34436924791590523,0,-0.7257355336770159,7,-0.4449775686850424,5,1985,1,2,3,2303.668,0,1.5328460124349554,2,1,1
968,0.11626780401986829,0,0.6309487086596831,4,1.4379377893347167,6,2004,2,1,1,2748.4224,1,-0.7368217519130082,3,0,0
666,1.4157190015684453,1,1.3405161522061602,13,1.7645274554986428,1,1987,0,2,1,3775.086,1,1.2939336161878014,3,0,1
1076,-0.1372177455643448,1,-0.7026338263492427,0,0.057034485774297906,5,1985,1,2,3,4064.0432,1,1.5328460124349554,0,1,1
1278,0.4115976216445448,0,-0.8954749755031706,9,0.8915104909540799,6,2004,2,1,1,1587.2672,2,-0.7368217519130082,3,1,0
259,-0.1372177455643448,0,-0.2622206401946308,0,-0.5347394630456173,4,1985,2,0,0,214.3876,1,1.5328460124349554,2,2,1
843,0.23439973106973888,1,-0.891532379475177,5,0.385862739327995,8,1997,2,0,1,4078.025,1,0.09937163495203102,0,1,0
1294,0.03357545508495897,0,0.5791691377119417,9,-1.5269732501452886,2,2007,2,1,1,838.908,2,-1.0951903462837393,1,0,0
1024,-1.2316174836191551,1,-0.08061687660682629,13,-1.5847011837805032,6,2004,2,1,1,1065.28,1,-0.7368217519130082,1,2,0
101,-0.28538074794969154,0,-1.0215340923955816,7,-1.636005624188254,1,1987,0,2,1,308.9312,0,1.2939336161878014,1,1,1
350,-1.63799131267071,1,1.803175167763204,4,-1.5333549906667736,0,1998,2,2,0,178.4344,1,-0.020084563171546017,1,0,0
244,-0.13046135530553407,1,0.029269667689406764,3,-1.5632756221202988,4,1985,2,0,0,125.8362,1,1.5328460124349554,1,2,1
1048,1.5102245432083414,0,1.979721819631712,4,-1.3681588035894812,0,1998,2,2,0,163.7868,1,-0.020084563171546017,1,0,0
1480,1.35665303804351,0,0.20036119349604126,8,-0.7154034218146416,3,2009,1,2,2,2741.7644,2,-1.3341027425308933,2,2,0
756,1.3802794234534836,0,0.6346496656165695,13,1.857584601884906,3,2009,1,2,2,3068.0064,1,-1.3341027425308933,3,0,0
706,1.179455147468704,0,1.870355840488542,1,-0.7683972409412153,7,2002,2,1,1,2174.5028,1,-0.49790935566585415,1,0,0
64,1.0967627985337942,0,0.5397518437450994,14,0.5440862245068757,8,1997,2,0,1,2085.2856,0,0.09937163495203102,0,0,0
1533,-0.6752161072142646,0,0.3685545531403799,8,0.09181448985439881,9,1999,1,0,1,3791.0652,2,-0.13954076129512305,0,0,0
1032,0.08668033550007682,1,-0.2233650664296081,6,-0.20755883550476428,5,1985,1,2,3,2797.6916,1,1.5328460124349554,2,2,1
143,-0.946919539428967,1,0.8422750241323966,14,-0.2963475706413785,3,2009,1,2,2,1609.9044,0,-1.3341027425308933,2,0,0
1124,0.030711831954549774,1,1.0407964048430884,13,-1.6701946668914283,5,1985,1,2,3,388.1614,1,1.5328460124349554,1,0,1
214,0.030711831954549774,0,-0.8799149681292029,13,-0.8571024706658724,5,1985,1,2,3,2180.495,1,1.5328460124349554,1,1,1
968,0.11626780401986829,0,0.6313340018087301,4,1.4395436626415825,8,1997,2,0,1,3435.528,1,0.09937163495203102,3,0,0
567,-0.7224688780342127,0,-0.8732070032732498,10,-0.24073296627799962,1,1987,0,2,1,2150.534,1,1.2939336161878014,2,1,1
180,0.1753337675448036,0,0.935586071904246,13,0.8337825573188655,9,1999,1,0,1,2527.3768,1,-0.13954076129512305,3,0,0
236,2.0063786368177983,0,-0.032725677599655494,3,1.9099457069285748,3,2009,1,2,2,6768.5228,1,-1.3341027425308933,3,2,0
611,-0.16724882089982096,1,-0.5659218627334227,3,-0.23266184703769174,1,1987,0,2,1,373.5138,1,1.2939336161878014,2,2,1
641,-1.5210407048913381,0,0.3726847470192145,4,0.5958981208795964,0,1998,2,2,0,358.2004,1,-0.020084563171546017,0,0,0
1438,1.592916892143251,0,-0.8470291589605681,8,0.19767686998961118,7,2002,2,1,1,2428.8384,2,-0.49790935566585415,0,1,0
1057,-0.6752161072142646,0,-0.8918684575067539,3,1.9949734867805091,7,2002,2,1,1,5815.0972,1,-0.49790935566585415,3,1,0
586,0.7069274392692213,1,1.0114038486691,0,-1.2906529343069069,8,1997,2,0,1,2576.646,1,0.09937163495203102,1,0,0
869,0.13424013659630724,1,3.6701765286695403,4,0.8974682809225524,4,1985,2,0,0,780.3176,1,1.5328460124349554,3,0,1
1378,-1.2918647664145892,0,-0.059025135197362,8,0.04638433400316362,8,1997,2,0,1,3134.5864,2,0.09937163495203102,0,2,0
642,-0.629144655664815,0,1.7701262821693817,5,0.008392583309330693,1,1987,0,2,1,850.8924,1,1.2939336161878014,2,0,1
830,-0.7000238118947375,1,-0.8358682728217887,3,-0.3845035916950874,1,1987,0,2,1,810.9444,1,1.2939336161878014,2,1,1
177,-0.46375995779499635,0,-0.11345059513820327,6,0.889438914388223,2,2007,2,1,1,3121.2704,1,-1.0951903462837393,3,2,0
1442,-0.16724882089982096,0,-0.8346144203075999,9,0.16826369450105572,2,2007,2,1,1,4815.0656,2,-1.0951903462837393,0,1,0
553,-1.1701888815532222,0,-1.2064491031518472,13,1.7351142800100874,3,2009,1,2,2,6258.52,1,-1.3341027425308933,3,1,0
1538,-0.8654085097645562,0,-0.4490564120359076,9,-0.5593350186135749,7,2002,2,1,1,2117.244,2,-0.49790935566585415,2,2,0
107,-1.0615075086673413,0,0.024030046596681277,7,-1.6531210218928305,9,1999,1,0,1,796.9626,0,-0.13954076129512305,1,2,0
1183,0.5297295486944154,0,2.0419911277495673,13,0.8594347775227409,8,1997,2,0,1,4910.275,1,0.09937163495203102,3,0,0
485,-0.13046135530553407,0,-0.19215113349506285,3,0.6269589223809962,4,1985,2,0,0,892.172,1,1.5328460124349554,0,2,1
629,-0.6752161072142646,0,-0.636084326904464,6,1.7009669900128916,3,2009,1,2,2,3185.1872,1,-1.3341027425308933,3,1,0
1039,-1.1548317310367393,1,-0.6097848560555141,10,-0.8614126346215004,7,2002,2,1,1,1062.6168,1,-0.49790935566585415,1,2,0
361,0.08668033550007682,0,-1.1659605455517048,6,-1.6493600666081507,5,1985,1,2,3,484.7024,1,1.5328460124349554,1,1,1
1199,0.0021668410545682016,1,1.5809410052673951,5,-1.4440587995651901,4,1985,2,0,0,147.8076,1,1.5328460124349554,1,0,1
1202,0.030711831954549774,0,-0.8891663567397424,13,1.8442301594650097,5,1985,1,2,3,2543.356,1,1.5328460124349554,3,1,1
266,1.1440155693537424,0,2.4710714597559846,13,0.7135508228338178,0,1998,2,2,0,184.4266,1,-0.020084563171546017,0,0,0
441,1.5338509286183157,0,-0.7487025951220176,10,0.5071511384489609,6,2004,2,1,1,4865.6664,1,-0.7368217519130082,0,1,0
1218,0.18714696024979083,1,0.1629347066860863,4,0.7231443099690344,7,2002,2,1,1,1118.544,1,-0.49790935566585415,3,2,0
72,1.1203891839437687,0,-0.5773930201075288,14,0.383158448679233,7,2002,2,1,1,2302.3364,0,-0.49790935566585415,0,2,0
1343,-0.995353629519414,0,1.4445191842483884,8,-0.7250804143618155,8,1997,2,0,1,2027.361,2,0.09937163495203102,2,0,0
541,0.647861475744286,1,0.6866824837245143,13,0.4686519317901584,8,1997,2,0,1,3435.528,1,0.09937163495203102,0,0,0
586,0.7069274392692213,1,1.0093919124048334,0,-1.313135160603029,1,1987,0,2,1,599.22,1,1.2939336161878014,1,0,1
453,1.2739606891086002,0,-0.04697021417827235,15,0.3815525753723672,7,2002,2,1,1,4604.6728,1,-0.49790935566585415,0,2,0
394,-1.1820020742582094,0,-1.1811705610886718,3,0.7808722436042487,2,2007,2,1,1,2285.0256,1,-1.0951903462837393,3,1,0
1552,-1.1890899898812015,0,2.2979225392950777,9,1.8206912685329697,9,1999,1,0,1,5580.7356,2,-0.13954076129512305,3,0,0
254,-1.0556009123148478,1,-0.9251406596776263,5,-0.43318724686603316,8,1997,2,0,1,2290.352,1,0.09937163495203102,2,1,0
781,-0.0018641230300022948,0,-0.745748873122351,13,0.5034319358702594,9,1999,1,0,1,1207.0954,1,-0.13954076129512305,0,1,0
682,-0.1372177455643448,0,0.8541306000734946,0,-0.8191942253839966,4,1985,2,0,0,643.1628,1,1.5328460124349554,1,0,1
582,1.4511585796834061,0,0.8309971692693553,5,-0.5786054982959654,2,2007,2,1,1,1587.933,1,-1.0951903462837393,2,0,0
1037,-1.6427165897527047,0,-0.3274223424361241,3,1.309634935609361,7,2002,2,1,1,5305.0944,1,-0.49790935566585415,3,2,0
316,-1.2044471403976849,0,-0.22653683763712879,13,-0.6282623126908718,8,1997,2,0,1,1697.79,1,0.09937163495203102,2,2,0
656,-0.24994116983473028,1,-1.1262667842710936,5,0.6317765423015935,8,1997,2,0,1,1427.4752,1,0.09937163495203102,0,1,0
1053,0.9195649079589884,0,-0.5072239501917218,13,0.7541633587644556,3,2009,1,2,2,4693.89,1,-1.3341027425308933,3,2,0
1379,0.12447478229831319,0,4.4259518392893,9,0.8610824035355852,4,1985,2,0,0,583.2408,2,1.5328460124349554,3,0,1
829,-0.1372177455643448,1,-0.7824966643806032,0,0.48792241147254867,5,1985,1,2,3,3091.9752,1,1.5328460124349554,0,1,1
404,0.6242350903343119,1,1.1061397496237952,6,0.5782752672100504,2,2007,2,1,1,2479.4392,1,-1.0951903462837393,0,0,0
1258,-1.6072770116377435,0,-0.9013234647212368,6,0.32116210379436905,6,2004,2,1,1,2716.464,1,-0.7368217519130082,0,1,0
811,-0.021189975365351398,1,-0.6299291442867513,2,0.24040273519208438,5,1985,1,2,3,3285.723,1,1.5328460124349554,0,1,1
674,-1.5482110481128084,1,1.0408820940076338,13,-0.7282504082695684,8,1997,2,0,1,661.8052,1,0.09937163495203102,2,0,0
